Proposal Name,Name,Unit Type,No of Desks,Centre: Name,Contract Number,Status,Account Name,Account Owner,Centre,Duplicate Check
BLR/IN/02060/1,BLR/IN/PS/05/021,Private Studio,84,CoWrks New Indiranagar,1792,Activated,Freshworks Technologies Private Limited,Jithin Raj,CoWrks New Indiranagar,
BLR/IN/02173/1,BLR/IN/PS/05/050,Private Studio,9,CoWrks New Indiranagar,1788,Activated,KOTTARAM AGRO FOODS PVT LTD,Sidharth Menda,CoWrks New Indiranagar,
BLR/IN/02060/1,BLR/IN/PS/05/010,Private Studio,84,CoWrks New Indiranagar,1792,Activated,Freshworks Technologies Private Limited,Jithin Raj,CoWrks New Indiranagar,
BLR/IN/02060/1,BLR/IN/PS/05/012,Private Studio,84,CoWrks New Indiranagar,1792,Activated,Freshworks Technologies Private Limited,Jithin Raj,CoWrks New Indiranagar,
BLR/IN/02188/1,BLR/IN/PS/05/059,Private Studio,4,CoWrks New Indiranagar,1826,Activated,Xia Market Advisory Services Pvt Ltd.,Auguste Pocuinaite,CoWrks New Indiranagar,
BLR/IN/02187/1,BLR/IN/PS/05/052,Private Studio,10,CoWrks New Indiranagar,1801,Activated,Tactai Software India Private Limited,Smriti Gautam,CoWrks New Indiranagar,
BLR/IN/02220/1,BLR/IN/PS/05/055,Private Studio,23,CoWrks New Indiranagar,1914,Activated,Decathlon Sports India Pvt Ltd,Raghu Ram,CoWrks New Indiranagar,
BLR/IN/02222/1,BLR/IN/PS/05/045,Private Studio,23,CoWrks New Indiranagar,1829,Activated,"Branch Metrics, Inc.",Smriti Gautam,CoWrks New Indiranagar,
BLR/IN/02222/1,BLR/IN/PS/05/054,Private Studio,23,CoWrks New Indiranagar,1829,Activated,"Branch Metrics, Inc.",Smriti Gautam,CoWrks New Indiranagar,
BLR/EW/00465/1,BLR/IN/FD/05/0007,Flexible Desk,8,CoWrks New Indiranagar,473,Month on Month,Sigma Sustainability Institute Private Limited,Auguste Pocuinaite,RMZ EcoWorld,
BLR/EW/00465/1,BLR/IN/FD/05/0008,Flexible Desk,8,CoWrks New Indiranagar,473,Month on Month,Sigma Sustainability Institute Private Limited,Auguste Pocuinaite,RMZ EcoWorld,
BLR/EW/00465/1,BLR/IN/FD/05/0009,Flexible Desk,8,CoWrks New Indiranagar,473,Month on Month,Sigma Sustainability Institute Private Limited,Auguste Pocuinaite,RMZ EcoWorld,
BLR/EW/00465/1,BLR/IN/FD/05/0010,Flexible Desk,8,CoWrks New Indiranagar,473,Month on Month,Sigma Sustainability Institute Private Limited,Auguste Pocuinaite,RMZ EcoWorld,
BLR/IN/00559/1,Community Lounge,Lounge,1,CoWrks New Indiranagar,532,Activated,Stylumia Intelligence Technology Pvt Ltd,Imaad Ahmed,CoWrks New Indiranagar,
BLR/IN/00560/1,Community Lounge,Lounge,2,CoWrks New Indiranagar,538,Activated,GOOVERTURE ENTERTAINMENT PVT LTD,Smriti Gautam,CoWrks New Indiranagar,
BLR/IN/00506/1,Community Lounge,Lounge,1,CoWrks New Indiranagar,488,Activated,Stylumia Intelligence Technology Pvt Ltd,Imaad Ahmed,CoWrks New Indiranagar,
BLR/IN/02202/1,BLR/IN/PS/05/013,Private Studio,8,CoWrks New Indiranagar,1815,Activated,NGGAWE NIRMAN TECHNOLOGIES PRIVATE LIMITED,Jithin Raj,CoWrks New Indiranagar,
BLR/IN/02219/1,BLR/IN/PS/05/060,Private Studio,4,CoWrks New Indiranagar,1827,Activated,NXT Trade & Agency Services India Pvt Ltd,Khursheed Alem Khan,CoWrks New Indiranagar,
BLR/IN/02140/1,BLR/IN/PS/05/005,Private Studio,4,CoWrks New Indiranagar,1903,Activated,ENORMOUS IT SERVICES PVT LTD,Smriti Gautam,CoWrks New Indiranagar,
BLR/IN/02426/1,BLR/IN/DD/00/001,Dedicated Desk,2,CoWrks New Indiranagar,2001,Activated,Feministaa,Rumpa Das,CoWrks New Indiranagar,
BLR/IN/02426/1,BLR/IN/DD/00/002,Dedicated Desk,2,CoWrks New Indiranagar,2001,Activated,Feministaa,Rumpa Das,CoWrks New Indiranagar,
BLR/IN/02496/1,BLR/IN/PS/00/003,Private Studio,8,CoWrks New Indiranagar,2126,Activated,Singularity Furniture Private Limited,Khursheed Alem Khan,CoWrks New Indiranagar,
BLR/IN/00386/1,Community Lounge,Lounge,1,CoWrks New Indiranagar,386,Month on Month,Groomedin Solutions Pvt Ltd,Auguste Pocuinaite,CoWrks New Indiranagar,
BLR/IN/00121/3,BLR/IN/PS/00/008,Private Studio,12,CoWrks New Indiranagar,900,Activated,Zapyle,Sidharth Menda,CoWrks New Indiranagar,
BLR/IN/00287/2,Community Lounge,Lounge,1,CoWrks New Indiranagar,301,Activated,Stylumia Intelligence Technology Pvt Ltd,Imaad Ahmed,CoWrks New Indiranagar,
BLR/IN/01314/1,BLR/IN/DD/5B/005,Dedicated Desk,5,CoWrks New Indiranagar,1091,Month on Month,Shoffr Pte. Ltd.,Smriti Gautam,CoWrks New Indiranagar,
BLR/IN/01314/1,BLR/IN/DD/5B/006,Dedicated Desk,5,CoWrks New Indiranagar,1091,Month on Month,Shoffr Pte. Ltd.,Smriti Gautam,CoWrks New Indiranagar,
BLR/IN/01314/1,BLR/IN/DD/5B/007,Dedicated Desk,5,CoWrks New Indiranagar,1091,Month on Month,Shoffr Pte. Ltd.,Smriti Gautam,CoWrks New Indiranagar,
BLR/IN/01314/1,BLR/IN/DD/5B/008,Dedicated Desk,5,CoWrks New Indiranagar,1091,Month on Month,Shoffr Pte. Ltd.,Smriti Gautam,CoWrks New Indiranagar,
BLR/IN/01314/1,BLR/IN/DD/5B/009,Dedicated Desk,5,CoWrks New Indiranagar,1091,Month on Month,Shoffr Pte. Ltd.,Smriti Gautam,CoWrks New Indiranagar,
BLR/IN/01250/1,BLR/IN/FD/05/0001,Flexible Desk,3,CoWrks New Indiranagar,1016,Month on Month,Growth Hackers,Jithin Raj,CoWrks New Indiranagar,
BLR/IN/01250/1,BLR/IN/FD/05/0002,Flexible Desk,3,CoWrks New Indiranagar,1016,Month on Month,Growth Hackers,Jithin Raj,CoWrks New Indiranagar,
BLR/IN/01250/1,BLR/IN/FD/05/0003,Flexible Desk,3,CoWrks New Indiranagar,1016,Month on Month,Growth Hackers,Jithin Raj,CoWrks New Indiranagar,
BLR/IN/01121/1,BLR/INF/5F-BP/B-64,Car Parking,19,CoWrks New Indiranagar,1068,Activated,Sandvik Asia Pvt. Ltd.,Rumpa Das,CoWrks New Indiranagar,
BLR/IN/01364/1,BLR/IN/DD/5B/0030,Dedicated Desk,4,CoWrks New Indiranagar,1097,Month on Month,Zimperium Inc,Raghu Ram,CoWrks New Indiranagar,
BLR/IN/01364/1,BLR/IN/DD/5B/0031,Dedicated Desk,4,CoWrks New Indiranagar,1097,Month on Month,Zimperium Inc,Raghu Ram,CoWrks New Indiranagar,
BLR/IN/01364/1,BLR/IN/DD/5B/0032,Dedicated Desk,4,CoWrks New Indiranagar,1097,Month on Month,Zimperium Inc,Raghu Ram,CoWrks New Indiranagar,
BLR/IN/01364/1,BLR/IN/DD/5B/0033,Dedicated Desk,4,CoWrks New Indiranagar,1097,Month on Month,Zimperium Inc,Raghu Ram,CoWrks New Indiranagar,
BLR/IN/01427/1,BLR/IN/FD/05/0015,Flexible Desk,1,CoWrks New Indiranagar,1085,Month on Month,Epoch Brand Services India Pvt Ltd.,Raghu Ram,CoWrks New Indiranagar,
BLR/IN/01446/1,BLR/IN/FD/05/0020,Flexible Desk,10,CoWrks New Indiranagar,1114,Activated,Decathlon Sports India Pvt Ltd,Raghu Ram,CoWrks New Indiranagar,
BLR/IN/01446/1,BLR/IN/FD/05/0021,Flexible Desk,10,CoWrks New Indiranagar,1114,Activated,Decathlon Sports India Pvt Ltd,Raghu Ram,CoWrks New Indiranagar,
BLR/IN/01446/1,BLR/IN/FD/05/0022,Flexible Desk,10,CoWrks New Indiranagar,1114,Activated,Decathlon Sports India Pvt Ltd,Raghu Ram,CoWrks New Indiranagar,
BLR/IN/01446/1,BLR/IN/FD/05/0023,Flexible Desk,10,CoWrks New Indiranagar,1114,Activated,Decathlon Sports India Pvt Ltd,Raghu Ram,CoWrks New Indiranagar,
BLR/IN/01446/1,BLR/IN/FD/05/0024,Flexible Desk,10,CoWrks New Indiranagar,1114,Activated,Decathlon Sports India Pvt Ltd,Raghu Ram,CoWrks New Indiranagar,
BLR/IN/01446/1,BLR/IN/FD/05/0025,Flexible Desk,10,CoWrks New Indiranagar,1114,Activated,Decathlon Sports India Pvt Ltd,Raghu Ram,CoWrks New Indiranagar,
BLR/IN/01446/1,BLR/IN/FD/05/0026,Flexible Desk,10,CoWrks New Indiranagar,1114,Activated,Decathlon Sports India Pvt Ltd,Raghu Ram,CoWrks New Indiranagar,
BLR/IN/01446/1,BLR/IN/FD/05/0027,Flexible Desk,10,CoWrks New Indiranagar,1114,Activated,Decathlon Sports India Pvt Ltd,Raghu Ram,CoWrks New Indiranagar,
BLR/IN/01446/1,BLR/IN/FD/05/0028,Flexible Desk,10,CoWrks New Indiranagar,1114,Activated,Decathlon Sports India Pvt Ltd,Raghu Ram,CoWrks New Indiranagar,
BLR/IN/01446/1,BLR/IN/FD/05/0029,Flexible Desk,10,CoWrks New Indiranagar,1114,Activated,Decathlon Sports India Pvt Ltd,Raghu Ram,CoWrks New Indiranagar,
BLR/IN/01470/1,BLR/IN/DD/5B/0040,Dedicated Desk,2,CoWrks New Indiranagar,1271,Activated,Aicumen Innovations Private Limited,Khursheed Alem Khan,CoWrks New Indiranagar,
BLR/IN/01470/1,BLR/IN/DD/5B/0041,Dedicated Desk,2,CoWrks New Indiranagar,1271,Activated,Aicumen Innovations Private Limited,Khursheed Alem Khan,CoWrks New Indiranagar,
BLR/IN/01503/1,BLR/IN/FD/05/0016,Flexible Desk,1,CoWrks New Indiranagar,1144,Month on Month,Pencilbox,Rumpa Das,CoWrks New Indiranagar,
BLR/IN/01535/1,BLR/IN/DD/00/015,Dedicated Desk,1,CoWrks New Indiranagar,1179,Month on Month,Twistedpair Technologies Pvt. Ltd,Khursheed Alem Khan,CoWrks New Indiranagar,
BLR/IN/00515/4,BLR/IN/PS/05/040,Private Studio,89,CoWrks New Indiranagar,822,Month on Month,LM Wind Power Technologies India Pvt Ltd,Imaad Ahmed,CoWrks New Indiranagar,
BLR/IN/00515/4,BLR/IN/PS/05/041,Private Studio,89,CoWrks New Indiranagar,822,Month on Month,LM Wind Power Technologies India Pvt Ltd,Imaad Ahmed,CoWrks New Indiranagar,
BLR/IN/00515/4,BLR/IN/PS/05/042,Private Studio,89,CoWrks New Indiranagar,822,Month on Month,LM Wind Power Technologies India Pvt Ltd,Imaad Ahmed,CoWrks New Indiranagar,
BLR/IN/00515/4,BLR/IN/PS/05/043,Private Studio,89,CoWrks New Indiranagar,822,Month on Month,LM Wind Power Technologies India Pvt Ltd,Imaad Ahmed,CoWrks New Indiranagar,
BLR/IN/00515/4,BLR/IN/PS/05/044,Private Studio,89,CoWrks New Indiranagar,822,Month on Month,LM Wind Power Technologies India Pvt Ltd,Imaad Ahmed,CoWrks New Indiranagar,
BLR/IN/01025/1,BLR/INF/5F-BP/B-22.4,Bike Parking,0,CoWrks New Indiranagar,879,Activated,Pluralsight India Pvt Ltd,Smriti Gautam,CoWrks New Indiranagar,
BLR/IN/01025/1,BLR/INF/5F-BP/B-23.1,Bike Parking,0,CoWrks New Indiranagar,879,Activated,Pluralsight India Pvt Ltd,Smriti Gautam,CoWrks New Indiranagar,
BLR/IN/01025/1,BLR/INF/5F-BP/B-23.2,Bike Parking,0,CoWrks New Indiranagar,879,Activated,Pluralsight India Pvt Ltd,Smriti Gautam,CoWrks New Indiranagar,
BLR/IN/00889/1,BLR/INF/5F-BP/B-58,Car Parking,4,CoWrks New Indiranagar,831,Activated,Way2Online Interactive India Pvt Ltd,Raghu Ram,CoWrks New Indiranagar,
BLR/IN/00515/4,BLR/IN/PS/05/049,Private Studio,89,CoWrks New Indiranagar,822,Month on Month,LM Wind Power Technologies India Pvt Ltd,Imaad Ahmed,CoWrks New Indiranagar,
BLR/IN/00515/4,BLR/IN/PS/05/047,Private Studio,89,CoWrks New Indiranagar,822,Month on Month,LM Wind Power Technologies India Pvt Ltd,Imaad Ahmed,CoWrks New Indiranagar,
BLR/IN/00515/4,BLR/IN/PS/05/046,Private Studio,89,CoWrks New Indiranagar,822,Month on Month,LM Wind Power Technologies India Pvt Ltd,Imaad Ahmed,CoWrks New Indiranagar,
BLR/IN/00515/4,BLR/IN/PS/05/039,Private Studio,89,CoWrks New Indiranagar,822,Month on Month,LM Wind Power Technologies India Pvt Ltd,Imaad Ahmed,CoWrks New Indiranagar,
BLR/IN/00768/1,BLR/IN/PS/00/007,Private Studio,12,CoWrks New Indiranagar,726,Formal Notice Given,Logesys Solutions India Pvt. Ltd,Smriti Gautam,CoWrks New Indiranagar,
BLR/IN/00768/1,BLR/IN/PS/00/011,Private Studio,12,CoWrks New Indiranagar,726,Formal Notice Given,Logesys Solutions India Pvt. Ltd,Smriti Gautam,CoWrks New Indiranagar,
BLR/IN/01041/1,BLR/IN/DD/5B/0017,Dedicated Desk,2,CoWrks New Indiranagar,894,Month on Month,Lobo Capital,Auguste Pocuinaite,CoWrks New Indiranagar,
BLR/IN/01041/1,BLR/IN/DD/5B/004,Dedicated Desk,2,CoWrks New Indiranagar,894,Month on Month,Lobo Capital,Auguste Pocuinaite,CoWrks New Indiranagar,
BLR/IN/01004/2,BLR/INF/5F-BP/B-83,Car Parking,31,CoWrks New Indiranagar,873,Month on Month,Pluralsight India Pvt Ltd,Smriti Gautam,CoWrks New Indiranagar,
BLR/IN/01004/2,BLR/INF/5F-BP/B-90,Car Parking,31,CoWrks New Indiranagar,873,Month on Month,Pluralsight India Pvt Ltd,Smriti Gautam,CoWrks New Indiranagar,
BLR/IN/01004/2,BLR/INF/5F-BP/B-91,Car Parking,31,CoWrks New Indiranagar,873,Month on Month,Pluralsight India Pvt Ltd,Smriti Gautam,CoWrks New Indiranagar,
BLR/IN/01004/2,BLR/INF/5F-BP/B-92,Car Parking,31,CoWrks New Indiranagar,873,Month on Month,Pluralsight India Pvt Ltd,Smriti Gautam,CoWrks New Indiranagar,
BLR/IN/01004/2,BLR/INF/5F-BP/B-93,Car Parking,31,CoWrks New Indiranagar,873,Month on Month,Pluralsight India Pvt Ltd,Smriti Gautam,CoWrks New Indiranagar,
BLR/IN/01004/2,BLR/INF/5F-BP/B-94,Car Parking,31,CoWrks New Indiranagar,873,Month on Month,Pluralsight India Pvt Ltd,Smriti Gautam,CoWrks New Indiranagar,
BLR/IN/01004/2,BLR/INF/5F-BP/B-96,Car Parking,31,CoWrks New Indiranagar,873,Month on Month,Pluralsight India Pvt Ltd,Smriti Gautam,CoWrks New Indiranagar,
BLR/IN/00973/1,BLR/INF/5F-BP/B-82,Car Parking,8,CoWrks New Indiranagar,859,Month on Month,VITALPOINTZ NETWORKS INDIA PRIVATE LIMITED,Auguste Pocuinaite,CoWrks New Indiranagar,
BLR/IN/01013/1,BLR/IN/PS/05/015,Private Studio,8,CoWrks New Indiranagar,874,Month on Month,Pluralsight India Pvt Ltd,Smriti Gautam,CoWrks New Indiranagar,
BLR/IN/01154/1,BLR/INF/5F-BP/B-97,Car Parking,0,CoWrks New Indiranagar,941,Activated,ADFG TECH INDIA PRIVATE LIMITED,Smriti Gautam,CoWrks New Indiranagar,
BLR/IN/01154/1,BLR/INF/5F-BP/B-98,Car Parking,0,CoWrks New Indiranagar,941,Activated,ADFG TECH INDIA PRIVATE LIMITED,Smriti Gautam,CoWrks New Indiranagar,
BLR/IN/01154/1,BLR/INF/5F-BP/B-23.3,Bike Parking,0,CoWrks New Indiranagar,941,Activated,ADFG TECH INDIA PRIVATE LIMITED,Smriti Gautam,CoWrks New Indiranagar,
BLR/IN/01154/1,BLR/INF/5F-BP/B-23.4,Bike Parking,0,CoWrks New Indiranagar,941,Activated,ADFG TECH INDIA PRIVATE LIMITED,Smriti Gautam,CoWrks New Indiranagar,
BLR/IN/01154/1,BLR/INF/5F-BP/B-24.1,Bike Parking,0,CoWrks New Indiranagar,941,Activated,ADFG TECH INDIA PRIVATE LIMITED,Smriti Gautam,CoWrks New Indiranagar,
BLR/IN/01154/1,BLR/INF/5F-BP/B-24.2,Bike Parking,0,CoWrks New Indiranagar,941,Activated,ADFG TECH INDIA PRIVATE LIMITED,Smriti Gautam,CoWrks New Indiranagar,
BLR/IN/01154/1,BLR/INF/5F-BP/B-24.3,Bike Parking,0,CoWrks New Indiranagar,941,Activated,ADFG TECH INDIA PRIVATE LIMITED,Smriti Gautam,CoWrks New Indiranagar,
BLR/IN/01154/1,BLR/INF/5F-BP/B-24.4,Bike Parking,0,CoWrks New Indiranagar,941,Activated,ADFG TECH INDIA PRIVATE LIMITED,Smriti Gautam,CoWrks New Indiranagar,
BLR/IN/01154/1,BLR/INF/5F-BP/B-25.1,Bike Parking,0,CoWrks New Indiranagar,941,Activated,ADFG TECH INDIA PRIVATE LIMITED,Smriti Gautam,CoWrks New Indiranagar,
BLR/IN/01154/1,BLR/INF/5F-BP/B-93,Car Parking,0,CoWrks New Indiranagar,941,Activated,ADFG TECH INDIA PRIVATE LIMITED,Smriti Gautam,CoWrks New Indiranagar,
BLR/IN/01154/1,BLR/INF/5F-BP/B-94,Car Parking,0,CoWrks New Indiranagar,941,Activated,ADFG TECH INDIA PRIVATE LIMITED,Smriti Gautam,CoWrks New Indiranagar,
BLR/IN/01154/1,BLR/INF/5F-BP/B-99,Car Parking,0,CoWrks New Indiranagar,941,Activated,ADFG TECH INDIA PRIVATE LIMITED,Smriti Gautam,CoWrks New Indiranagar,
BLR/IN/01189/1,Virtual Office - 01,Lounge+,1,CoWrks New Indiranagar,945,Activated,Wemax Advisors LLP,Khursheed Alem Khan,CoWrks New Indiranagar,
BLR/IN/01233/2,BLR/INF/GFSP/T10-32,Car Parking,0,CoWrks New Indiranagar,966,Activated,Decathlon Sports India Pvt Ltd,Raghu Ram,CoWrks New Indiranagar,
BLR/IN/01233/2,BLR/INF/GFSP/T10-33,Car Parking,0,CoWrks New Indiranagar,966,Activated,Decathlon Sports India Pvt Ltd,Raghu Ram,CoWrks New Indiranagar,
BLR/IN/01233/2,BLR/INF/GFBP/E-17,Car Parking,0,CoWrks New Indiranagar,966,Activated,Decathlon Sports India Pvt Ltd,Raghu Ram,CoWrks New Indiranagar,
BLR/IN/01233/2,BLR/INF/GFBP/E-17(17A),Car Parking,0,CoWrks New Indiranagar,966,Activated,Decathlon Sports India Pvt Ltd,Raghu Ram,CoWrks New Indiranagar,
BLR/IN/01233/2,BLR/INF/GFBP/E-17(17B),Car Parking,0,CoWrks New Indiranagar,966,Activated,Decathlon Sports India Pvt Ltd,Raghu Ram,CoWrks New Indiranagar,
BLR/IN/01233/2,BLR/INF/GFBP/E-17(17C),Car Parking,0,CoWrks New Indiranagar,966,Activated,Decathlon Sports India Pvt Ltd,Raghu Ram,CoWrks New Indiranagar,
BLR/IN/01233/2,BLR/INF/GFBP/E-17(17D),Car Parking,0,CoWrks New Indiranagar,966,Activated,Decathlon Sports India Pvt Ltd,Raghu Ram,CoWrks New Indiranagar,
BLR/IN/01233/2,BLR/INF/GFSP/T10-31,Car Parking,0,CoWrks New Indiranagar,966,Activated,Decathlon Sports India Pvt Ltd,Raghu Ram,CoWrks New Indiranagar,
BLR/IN/00323/1,Community Lounge,Lounge,1,CoWrks New Indiranagar,327,Formal Notice Given,PRITBOR,Imaad Ahmed,CoWrks New Indiranagar,
BLR/IN/00824/1,BLR/IN/FD/05/0030,Flexible Desk,3,CoWrks New Indiranagar,784,Month on Month,Autovert Technologies Private Limited,Raghu Ram,CoWrks New Indiranagar,
BLR/IN/00824/1,BLR/IN/FD/05/0031,Flexible Desk,3,CoWrks New Indiranagar,784,Month on Month,Autovert Technologies Private Limited,Raghu Ram,CoWrks New Indiranagar,
BLR/IN/00824/1,BLR/IN/FD/05/0032,Flexible Desk,3,CoWrks New Indiranagar,784,Month on Month,Autovert Technologies Private Limited,Raghu Ram,CoWrks New Indiranagar,
BLR/IN/00837/1,BLR/IN/FD/05/0034,Flexible Desk,1,CoWrks New Indiranagar,801,Activated,Harish Naik,Khursheed Alem Khan,CoWrks New Indiranagar,
BLR/IN/00173/3,BLR/IN/DD/00/009,Dedicated Desk,2,CoWrks New Indiranagar,217,Month on Month,Stylumia Intelligence Technology Pvt Ltd,Imaad Ahmed,CoWrks New Indiranagar,
BLR/IN/00173/3,BLR/IN/DD/00/010,Dedicated Desk,2,CoWrks New Indiranagar,217,Month on Month,Stylumia Intelligence Technology Pvt Ltd,Imaad Ahmed,CoWrks New Indiranagar,
BLR/IN/02781/1,BLR/INF/5F-CP/091,Car Parking,0,CoWrks New Indiranagar,2235,Activated,UANDH Private Limited,Raghu Ram,CoWrks New Indiranagar,
BLR/IN/03091/1,BLR/IN/FD/05/0004,Flexible Desk,3,CoWrks New Indiranagar,2458,Activated,Yellow Lion Group,Imaad Ahmed,CoWrks New Indiranagar,
BLR/IN/03091/1,BLR/IN/FD/05/0005,Flexible Desk,3,CoWrks New Indiranagar,2458,Activated,Yellow Lion Group,Imaad Ahmed,CoWrks New Indiranagar,
BLR/IN/03091/1,BLR/IN/FD/05/0006,Flexible Desk,3,CoWrks New Indiranagar,2458,Activated,Yellow Lion Group,Imaad Ahmed,CoWrks New Indiranagar,
BLR/IN/01531/2,BLR/IN/DD/00/003,Dedicated Desk,1,CoWrks New Indiranagar,1248,Month on Month,Intec Capital Limited,Smriti Gautam,CoWrks New Indiranagar,
BLR/IN/01690/2,BLR/INF/5F-BP/B-22.3,Bike Parking,10,CoWrks New Indiranagar,1349,Activated,KOTTARAM AGRO FOODS PVT LTD,Sidharth Menda,CoWrks New Indiranagar,
BLR/IN/01690/2,BLR/INF/5F-BP/B-66,Car Parking,10,CoWrks New Indiranagar,1349,Activated,KOTTARAM AGRO FOODS PVT LTD,Sidharth Menda,CoWrks New Indiranagar,
BLR/IN/01690/2,BLR/INF/5F-BP/B-65,Car Parking,10,CoWrks New Indiranagar,1349,Activated,KOTTARAM AGRO FOODS PVT LTD,Sidharth Menda,CoWrks New Indiranagar,
BLR/IN/01690/2,BLR/IN/PS/05/051,Private Studio,10,CoWrks New Indiranagar,1349,Activated,KOTTARAM AGRO FOODS PVT LTD,Sidharth Menda,CoWrks New Indiranagar,
BLR/IN/00304/2,BLR/IN/PS/05/033,Private Studio,48,CoWrks New Indiranagar,1367,Activated,SYNOPSYS (INDIA) PRIVATE LIMITED,Imaad Ahmed,CoWrks New Indiranagar,
BLR/IN/00304/2,BLR/IN/PS/05/034,Private Studio,48,CoWrks New Indiranagar,1367,Activated,SYNOPSYS (INDIA) PRIVATE LIMITED,Imaad Ahmed,CoWrks New Indiranagar,
BLR/IN/00304/2,BLR/IN/PS/05/035,Private Studio,48,CoWrks New Indiranagar,1367,Activated,SYNOPSYS (INDIA) PRIVATE LIMITED,Imaad Ahmed,CoWrks New Indiranagar,
BLR/IN/00304/2,BLR/IN/PS/05/036,Private Studio,48,CoWrks New Indiranagar,1367,Activated,SYNOPSYS (INDIA) PRIVATE LIMITED,Imaad Ahmed,CoWrks New Indiranagar,
BLR/IN/00304/2,BLR/IN/PS/05/037,Private Studio,48,CoWrks New Indiranagar,1367,Activated,SYNOPSYS (INDIA) PRIVATE LIMITED,Imaad Ahmed,CoWrks New Indiranagar,
BLR/IN/00304/2,BLR/IN/PS/05/038,Private Studio,48,CoWrks New Indiranagar,1367,Activated,SYNOPSYS (INDIA) PRIVATE LIMITED,Imaad Ahmed,CoWrks New Indiranagar,
BLR/IN/01773/1,BLR/IN/PSDD/00/021,Dedicated Desk,2,CoWrks New Indiranagar,1472,Month on Month,Idealyze Partners LLP,Rumpa Das,CoWrks New Indiranagar,
BLR/IN/01773/1,BLR/IN/PSDD/00/022,Dedicated Desk,2,CoWrks New Indiranagar,1472,Month on Month,Idealyze Partners LLP,Rumpa Das,CoWrks New Indiranagar,
BLR/IN/00973/1,BLR/INF/5F-BP/B-22.1,Bike Parking,8,CoWrks New Indiranagar,859,Month on Month,VITALPOINTZ NETWORKS INDIA PRIVATE LIMITED,Auguste Pocuinaite,CoWrks New Indiranagar,
BLR/IN/00973/1,BLR/IN/PS/05/007,Private Studio,8,CoWrks New Indiranagar,859,Month on Month,VITALPOINTZ NETWORKS INDIA PRIVATE LIMITED,Auguste Pocuinaite,CoWrks New Indiranagar,
BLR/IN/01295/2,BLR/INF/5F-BP/B-90,Car Parking,0,CoWrks New Indiranagar,1010,Activated,Zapyle,Sidharth Menda,CoWrks New Indiranagar,
BLR/IN/01295/2,BLR/INF/5F-BP/B-91,Car Parking,0,CoWrks New Indiranagar,1010,Activated,Zapyle,Sidharth Menda,CoWrks New Indiranagar,
BLR/IN/00930/1,BLR/IN/FD/05/0012,Flexible Desk,2,CoWrks New Indiranagar,843,Month on Month,GT Informatics,Auguste Pocuinaite,CoWrks New Indiranagar,
BLR/IN/00930/1,BLR/IN/FD/05/0013,Flexible Desk,2,CoWrks New Indiranagar,843,Month on Month,GT Informatics,Auguste Pocuinaite,CoWrks New Indiranagar,
BLR/IN/00515/4,BLR/IN/PS/05/048,Private Studio,89,CoWrks New Indiranagar,822,Month on Month,LM Wind Power Technologies India Pvt Ltd,Imaad Ahmed,CoWrks New Indiranagar,
BLR/IN/00859/2,BLR/IN/DD/5B/0014,Dedicated Desk,1,CoWrks New Indiranagar,800,Activated,Aicumen Innovations Private Limited,Khursheed Alem Khan,CoWrks New Indiranagar,
BLR/IN/00889/1,BLR/IN/PS/05/003,Private Studio,4,CoWrks New Indiranagar,831,Activated,Way2Online Interactive India Pvt Ltd,Raghu Ram,CoWrks New Indiranagar,
CHN/MN/01168/4,CHN/MN/PS/01,Private Studio,211,CoWrks OMR,1740,Activated,Shell India Markets Pvt Ltd,Antoinette Monisha,CoWrks OMR,
CHN/MN/01168/4,CHN/MN/PS/02,Private Studio,211,CoWrks OMR,1740,Activated,Shell India Markets Pvt Ltd,Antoinette Monisha,CoWrks OMR,
CHN/MN/01168/4,CHN/MN/PS/03,Private Studio,211,CoWrks OMR,1740,Activated,Shell India Markets Pvt Ltd,Antoinette Monisha,CoWrks OMR,
CHN/MN/01168/4,CHN/MN/PS/04,Private Studio,211,CoWrks OMR,1740,Activated,Shell India Markets Pvt Ltd,Antoinette Monisha,CoWrks OMR,
CHN/MN/01168/4,CHN/MN/PS/05,Private Studio,211,CoWrks OMR,1740,Activated,Shell India Markets Pvt Ltd,Antoinette Monisha,CoWrks OMR,
CHN/MN/01168/4,CHN/MN/PS/06,Private Studio,211,CoWrks OMR,1740,Activated,Shell India Markets Pvt Ltd,Antoinette Monisha,CoWrks OMR,
CHN/MN/01168/4,CHN/MN/PS/08,Private Studio,211,CoWrks OMR,1740,Activated,Shell India Markets Pvt Ltd,Antoinette Monisha,CoWrks OMR,
CHN/MN/01168/4,CHN/MN/PS/09,Private Studio,211,CoWrks OMR,1740,Activated,Shell India Markets Pvt Ltd,Antoinette Monisha,CoWrks OMR,
CHN/MN/01168/4,CHN/MN/PS/10,Private Studio,211,CoWrks OMR,1740,Activated,Shell India Markets Pvt Ltd,Antoinette Monisha,CoWrks OMR,
CHN/MN/01168/4,CHN/MN/PS/17,Private Studio,211,CoWrks OMR,1740,Activated,Shell India Markets Pvt Ltd,Antoinette Monisha,CoWrks OMR,
CHN/MN/01168/4,CHN/MN/PS/18,Private Studio,211,CoWrks OMR,1740,Activated,Shell India Markets Pvt Ltd,Antoinette Monisha,CoWrks OMR,
CHN/MN/01168/4,CHN/MN/PS/19,Private Studio,211,CoWrks OMR,1740,Activated,Shell India Markets Pvt Ltd,Antoinette Monisha,CoWrks OMR,
